id,title,type,price,price_formatted,area_hectares,area_m2,area_alqueires,city,state,latitude,longitude,features,description,reference_code,photos_count,url
TN2W4S,Título não encontrado,Fazenda,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/fazenda-em-cristalandia-tocantins-com-area-de-803-ha-r-22400000-cod-tn2w4s/TN2W4S
XL3LGQ,Título não encontrado,Chácara,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/chacara-em-igarata-sao-paulo-com-area-de-8397-m-r-235000-cod-xl3lgq/XL3LGQ
5WN66M,Título não encontrado,Fazenda,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/fazenda-em-pium-tocantins-com-area-de-50336-ha-r-13000000-cod-5wn66m/5WN66M
MFSAT1,Título não encontrado,Sítio,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/sitio-em-pocone-mato-grosso-com-area-de-53-ha-r-12000000-cod-mfsat1/MFSAT1
OKTT1U,Título não encontrado,Sítio,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/sitio-em-crominia-goias-com-area-de-4598-ha-r-3500000-cod-oktt1u/OKTT1U
T01Y5D,Título não encontrado,Fazenda,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/fazenda-em-diamantino-mato-grosso-com-area-de-21000-ha-r-450000000-cod-t01y5d/T01Y5D
XUSEYF,Título não encontrado,Fazenda,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/fazenda-em-paranapanema-sao-paulo-com-area-de-1137-ha-r-8500000-cod-xuseyf/XUSEYF
Q1QGSC,Título não encontrado,Fazenda,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/fazenda-em-chapadao-do-sul-mato-grosso-do-sul-com-area-de-457-ha-r-17000000-cod-q1qgsc/Q1QGSC
CQC8TS,Título não encontrado,Chácara,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/chacara-em-cascalho-rico-minas-gerais-com-area-de-4000-m-r-350000-cod-cqc8ts/CQC8TS
5RK9T6,Título não encontrado,Sítio,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/sitio-em-sarapui-sao-paulo-com-area-de-5566-ha-r-8000000-cod-5rk9t6/5RK9T6
AZ6EDX,Título não encontrado,Fazenda,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/fazenda-em-dom-bosco-minas-gerais-com-area-de-3300-ha-r-49500000-cod-az6edx/AZ6EDX
358FKQ,Título não encontrado,Fazenda,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/fazenda-em-itai-sao-paulo-com-area-de-13794-ha-r-18000000-cod-358fkq/358FKQ
V8SSU7,Título não encontrado,Fazenda,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/fazenda-em-anapolis-goias-com-area-de-309-ha-r-22400000-cod-v8ssu7/V8SSU7
52B40A,Título não encontrado,Fazenda,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/fazenda-em-ribeirao-cascalheira-mato-grosso-com-area-de-768-ha-r-30000000-cod-52b40a/52B40A
FVTHDZ,Título não encontrado,Chácara,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/chacara-em-ribeirao-grande-sao-paulo-com-area-de-27000-m-r-290000-cod-fvthdz/FVTHDZ
VIUPDW,Título não encontrado,Fazenda,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/fazenda-em-jales-sao-paulo-com-area-de-55176-ha-r-37600000-cod-viupdw/VIUPDW
3HMQYJ,Título não encontrado,Chácara,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/chacara-em-sao-jose-dos-campos-sao-paulo-com-area-de-1100-m-r-850000-cod-3hmqyj/3HMQYJ
URQ49A,Título não encontrado,Sítio,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/sitio-em-angatuba-sao-paulo-com-area-de-3388-ha-r-1350000-cod-urq49a/URQ49A
7RN1CU,Título não encontrado,Chácara,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/chacara-em-pilar-do-sul-sao-paulo-com-area-de-3780-m-r-315000-cod-7rn1cu/7RN1CU
6TVSLQ,Título não encontrado,Chácara,,Consulte,,,,,,,,,,,0,https://chaozao.com.br/imovel/chacara-em-mozarlandia-goias-com-area-de-33275-m-r-400000-cod-6tvslq/6TVSLQ
